,total_rmse_1,total_mape_1,total_corr_1,train_rmse_1,train_mape_1,train_corr_1,val_rmse_1,val_mape_1,val_corr_1,test_rmse_1,test_mape_1,test_corr_1,total_rmse_2,total_mape_2,total_corr_2,train_rmse_2,train_mape_2,train_corr_2,val_rmse_2,val_mape_2,val_corr_2,test_rmse_2,test_mape_2,test_corr_2,total_rmse_3,total_mape_3,total_corr_3,train_rmse_3,train_mape_3,train_corr_3,val_rmse_3,val_mape_3,val_corr_3,test_rmse_3,test_mape_3,test_corr_3,total_rmse_4,total_mape_4,total_corr_4,train_rmse_4,train_mape_4,train_corr_4,val_rmse_4,val_mape_4,val_corr_4,test_rmse_4,test_mape_4,test_corr_4,total_rmse_5,total_mape_5,total_corr_5,train_rmse_5,train_mape_5,train_corr_5,val_rmse_5,val_mape_5,val_corr_5,test_rmse_5,test_mape_5,test_corr_5,total_rmse_6,total_mape_6,total_corr_6,train_rmse_6,train_mape_6,train_corr_6,val_rmse_6,val_mape_6,val_corr_6,test_rmse_6,test_mape_6,test_corr_6,total_rmse_7,total_mape_7,total_corr_7,train_rmse_7,train_mape_7,train_corr_7,val_rmse_7,val_mape_7,val_corr_7,test_rmse_7,test_mape_7,test_corr_7,total_rmse_8,total_mape_8,total_corr_8,train_rmse_8,train_mape_8,train_corr_8,val_rmse_8,val_mape_8,val_corr_8,test_rmse_8,test_mape_8,test_corr_8,total_rmse_9,total_mape_9,total_corr_9,train_rmse_9,train_mape_9,train_corr_9,val_rmse_9,val_mape_9,val_corr_9,test_rmse_9,test_mape_9,test_corr_9,total_rmse_10,total_mape_10,total_corr_10,train_rmse_10,train_mape_10,train_corr_10,val_rmse_10,val_mape_10,val_corr_10,test_rmse_10,test_mape_10,test_corr_10
ME-T(US),8.875895837281718,23.36306975063597,0.8798285538208822,3.8078684530922002,15.125909138907287,0.9816233063637035,5.397735661901706,34.64813217567782,0.7070567536415822,13.90629427329844,31.217541977701057,0.8424777233130627,9.64761894746614,24.687953228153287,0.8661804238065882,4.27600823949049,14.218404465142525,0.9694672612190292,5.897735445966611,37.506925065229154,0.5467316680639775,15.054029931571412,35.261230036333444,0.8393441980530024,9.88485091573108,25.096417233992728,0.8633103145944987,4.416336332280962,13.212935713697158,0.9650649306398331,6.5603037808391775,40.39385563568951,0.2673496479013743,15.327161697541179,36.808381398935815,0.84074488082223,9.995149080839495,24.998318910552413,0.8581647074042555,4.462174429565821,12.386642163657818,0.9644777913886954,7.281481870780168,41.765327509645985,-0.2862731771398088,15.386652877488748,37.22196494823075,0.8280830685440885,10.238516664311714,24.921618965369618,0.8453199290967178,4.658815124354561,12.164258903859446,0.9630629988212683,7.985627659136412,41.87659204008653,-0.7312657556296065,15.622533576878043,37.28867980191365,0.7937542754592308,10.689779591277173,25.60885231696349,0.8245228549679179,5.051675193327875,13.114609884222105,0.9586221091000593,8.525099009757136,40.9237115991481,-0.8648920303679961,16.188538682356796,38.220363301476006,0.737082639788452,11.002230835974482,26.651614997911167,0.8093300294029295,5.152446113403881,15.057805264214503,0.9624384292956235,8.842614096175454,39.36749772797604,-0.8220406950981567,16.669338558525446,38.93305548143593,0.6798004710057766,11.354933238879982,28.12395780301419,0.7929430386576697,5.391235366037239,17.232499123370314,0.9588583425955391,8.86066438886431,38.37450254156692,-0.7300565184191222,17.223413868664984,40.31752433207824,0.6279809948507051,11.62337496199351,29.65212348414689,0.7803507431104687,5.829179089464929,19.128361986560414,0.9478280379941441,8.604601220310203,37.079384030602796,-0.6528399158505084,17.57255390840738,42.39295904322776,0.5990401135172767,12.166051947844847,31.73235374592461,0.7552473086784582,6.825867923878967,21.152873057293817,0.918387262529688,8.145494893162775,35.45320350270898,-0.5496303329498438,18.169185346733105,45.990609055460226,0.5588876363065451
Basic-LSTM(US),9.756124289272046,28.068489498596914,0.8711689367904305,8.0593882354631,24.24134167971776,0.814782936295404,4.536302944500418,31.718664477296066,0.9656479925610463,12.996756453574784,32.33451207679212,0.8964406916258356,11.312076210315105,33.35149475534333,0.8372733656067822,9.27320751912878,28.567358214762713,0.7405075975538473,5.12059611119884,34.976507229368934,0.9124475082758631,15.153427846478818,39.82149898690465,0.8837771653905404,12.537926885585573,38.33415589923876,0.803772229976723,10.312232498857039,32.70218116730241,0.6612525909060478,5.761912061464238,37.69345736208975,0.7543147217671928,16.753075188123958,46.939292031976166,0.8752621011306192,13.691355465499573,43.14012547991826,0.7565920823373464,11.22909933111635,36.61731767447205,0.5765012143580083,6.283816706659737,38.86633869837615,0.2959698087083076,18.324350939410465,54.47349968730636,0.840979576077241,14.93389307866748,48.01103138804541,0.6850724818857816,12.069735666456632,40.13857474121752,0.4840711301171012,6.700642465503649,38.909034924114124,-0.29035049912804817,20.167754741803048,63.216094720989226,0.7552065770256204,16.2262141628444,53.33935306128828,0.590848816319352,12.861760957504638,43.978155619480276,0.3822257455631181,6.98818248192899,38.452481766677785,-0.6331977593284908,22.170345509049348,72.99282202446553,0.619789876240185,17.44485331431453,58.560933096118376,0.4829279076312217,13.600487994296872,47.45972999182562,0.2720617372679742,7.18894365329568,37.88703646410309,-0.8271690037651722,24.066974572608338,83.03648478584901,0.4558126567940593,18.522977009464892,63.585904558967584,0.3692572569078614,14.273756776774151,50.90200975818985,0.15769727615649895,7.254156172065027,36.55417965926553,-0.9198413081788035,25.735904881295575,92.87106132129665,0.2827820179281376,19.46616450604889,68.47212699883043,0.25306447418261335,14.899196581771077,54.50769180433988,0.041265817948943684,7.13849066734851,34.38852018579004,-0.9635510555794744,27.180432714656984,102.38720121505789,0.10997884700698604,20.22993681740446,72.45735457611092,0.14284594065862416,15.390277347513146,57.369220760349485,-0.06280147101560435,6.86116091312462,31.618770113574573,-0.984618545454984,28.37694710691883,110.65468261080329,-0.0567419761431637
DEFSI(US),8.796584246909074,18.92449089711376,0.9159282308964608,2.6229281428025097,8.594510628825178,0.9818740556304063,1.4896973556468882,11.805657692396089,0.8688907295113453,14.528849642839237,37.008526084142375,0.9341041715461708,10.493341048865606,24.55517220337522,0.881970597241529,3.491982743429099,11.976939975336768,0.96772101149357,1.7888464153105854,14.14476064320836,0.781844908416471,17.227591624564177,47.249482565045255,0.9168710409941322,12.009802724183016,31.1768601272231,0.8444445326398089,4.695600894525511,15.931184691747106,0.9420219867075992,2.155335173123975,17.67806679579523,0.6237047037796438,19.482798714030945,59.024814643643396,0.9195812120436336,13.388269812769744,38.14410379385725,0.7979179781551088,5.948750492405446,19.81835421939786,0.9069422124192759,2.649812360572141,22.97094274082555,0.1782404275819749,21.43315508638006,71.21063324745442,0.9203317795819089,14.791697939163864,45.64040003563697,0.7323530815632283,7.345075545720017,24.794534896937954,0.8565561129766288,3.172366522044795,28.355322569002944,-0.3822984584000614,23.328109911586374,83.26397184143579,0.8747191038901364,16.280125984023115,54.02273086363506,0.6424654129067189,8.958214776129036,30.96133149422251,0.78249366148774,3.629695493639498,32.66637864025093,-0.7121349662082201,25.233876525464332,96.50984691762177,0.7458586958820864,17.722615743414845,62.686849981879,0.5360705020025051,10.714928168968335,37.74928911895507,0.6817741812145692,4.102322040214613,36.7752042132506,-0.8814003841335531,26.92337669236889,109.72128704375133,0.549873785042799,19.000605012664572,70.91083378091712,0.42527459002222595,12.517312359055977,45.10558791420468,0.5567059405738077,4.559736823823998,41.03043485486424,-0.9511939145952562,28.212402206811888,120.76909497386569,0.33542745295484827,20.06550373401371,77.96078082872202,0.32114641252079873,14.22841961771781,52.57781078660765,0.41953609755469484,4.866669607764145,43.6936131799107,-0.9813018001896654,29.092043558333877,128.89054320688322,0.14086019589884324,21.198126124197287,85.8527945690234,0.20881086204770896,15.798285974286156,60.016507359116886,0.27864754418885573,5.111716959158414,45.652391200217416,-0.9953212775158466,30.160102156162463,139.75195753939022,-0.03112530115922521
Seq2Seq(US),9.053641615522471,21.69012080292065,0.9225634098961034,5.053468988868414,14.406377170382601,0.9385640737011917,2.7424868713394384,20.72837327517006,0.9007294617655627,13.947144351080249,32.870545881299904,0.934883908147205,11.290357029921891,27.17456170109073,0.8712450705460929,5.402317520921105,15.963139246699622,0.9260377683628113,3.741234109777788,26.22866855368531,0.7673048240050745,17.81133095531385,44.17701817434415,0.8800468761997475,12.630980483299076,32.15088393638677,0.8272770956688892,5.358163573327152,16.6562042985666,0.9244222658821405,4.646790936828221,30.31719119728858,0.5201272960275135,20.176191878887657,55.85280574957729,0.8284124312881956,13.474990404991706,36.70110037272621,0.788223150754712,5.008286528274618,16.846208659520382,0.9333768165468307,5.504426128532703,34.1631728521227,-0.04043335554648042,21.733583470971094,67.14562130997493,0.772085697252675,13.997093155587363,40.412401459291836,0.7542417307112492,4.582802838271721,16.455184237473453,0.9444149633546386,6.3354176020490165,37.72918641504949,-0.6278799599672134,22.710670318751088,77.00048445072905,0.7180407151944163,14.310761357268659,43.50822944222328,0.7266071957324666,4.385366211776653,16.639979415319235,0.9482686773393124,7.100079945594918,39.666236939551624,-0.9060591321676634,23.236117985048303,84.86446851543768,0.6801423163106444,14.460783228444516,45.79244135538949,0.7068193616258034,4.532365580496869,17.19955830160036,0.9423767308419062,7.822329952881152,41.25820487587611,-0.9835003330940633,23.370752816274923,89.97577871759789,0.6655616932576456,14.455091768719432,46.94714858518814,0.6966214850796063,4.863071328591496,17.841686290373648,0.9316132321271824,8.447988696567576,42.29634221113716,-0.9576695249740882,23.17689610378736,91.9362112319648,0.6722768398129724,14.331541349620467,47.151049789463045,0.6946644994965285,5.252843865352744,18.797160825763466,0.9199200316400037,8.915611625050637,42.22907580011745,-0.8936325413929493,22.75881776423468,91.12984269921553,0.6915720318590846,14.069145237061496,46.14965093469681,0.7019652599064026,5.542444892657038,19.347347062952117,0.9118804610248558,9.297918694880453,41.55375001976557,-0.7984707489984875,22.11863901846385,87.6998699372591,0.7235353238438332
