,rmse,mape,corr,rmse(improve),mape(improve),corr(improve),improve(mean)
32,8.309313201038515,83.5699083059432,0.8665490201241743,0.11877566854315309,0.0,0.0,0.03959188951438437
64,7.506372382901666,54.42472253951042,0.8886089386891701,0.2039296359701632,0.348752156813843,0.025457207904793028,0.19271300022959972
128,7.716042106026982,49.340827111678855,0.88896353166156,0.18169361512011792,0.409586200202042,0.025866409189607833,0.20571540817058923
256,9.42928253842185,53.14440704844724,0.882513379277444,0.0,0.3640724499315049,0.01842291524486636,0.12749845505879043
512,7.864165380181589,57.77702592029632,0.8999719145913193,0.16598475566543047,0.308638395189104,0.03857011397041976,0.17106442160831806
