,total_rmse_1,total_mape_1,total_corr_1,train_rmse_1,train_mape_1,train_corr_1,val_rmse_1,val_mape_1,val_corr_1,test_rmse_1,test_mape_1,test_corr_1,total_rmse_2,total_mape_2,total_corr_2,train_rmse_2,train_mape_2,train_corr_2,val_rmse_2,val_mape_2,val_corr_2,test_rmse_2,test_mape_2,test_corr_2,total_rmse_3,total_mape_3,total_corr_3,train_rmse_3,train_mape_3,train_corr_3,val_rmse_3,val_mape_3,val_corr_3,test_rmse_3,test_mape_3,test_corr_3,total_rmse_4,total_mape_4,total_corr_4,train_rmse_4,train_mape_4,train_corr_4,val_rmse_4,val_mape_4,val_corr_4,test_rmse_4,test_mape_4,test_corr_4,total_rmse_5,total_mape_5,total_corr_5,train_rmse_5,train_mape_5,train_corr_5,val_rmse_5,val_mape_5,val_corr_5,test_rmse_5,test_mape_5,test_corr_5,total_rmse_6,total_mape_6,total_corr_6,train_rmse_6,train_mape_6,train_corr_6,val_rmse_6,val_mape_6,val_corr_6,test_rmse_6,test_mape_6,test_corr_6,total_rmse_7,total_mape_7,total_corr_7,train_rmse_7,train_mape_7,train_corr_7,val_rmse_7,val_mape_7,val_corr_7,test_rmse_7,test_mape_7,test_corr_7,total_rmse_8,total_mape_8,total_corr_8,train_rmse_8,train_mape_8,train_corr_8,val_rmse_8,val_mape_8,val_corr_8,test_rmse_8,test_mape_8,test_corr_8,total_rmse_9,total_mape_9,total_corr_9,train_rmse_9,train_mape_9,train_corr_9,val_rmse_9,val_mape_9,val_corr_9,test_rmse_9,test_mape_9,test_corr_9,total_rmse_10,total_mape_10,total_corr_10,train_rmse_10,train_mape_10,train_corr_10,val_rmse_10,val_mape_10,val_corr_10,test_rmse_10,test_mape_10,test_corr_10
ME-N,8.606908921303189,37.48073613220705,0.8573743996811923,5.715451784667704,24.009113987305934,0.9680186747909021,7.589912893027387,55.671719395941764,-0.032981437316918244,11.91242939060225,50.429214180614636,0.7631443345019863,9.129148116262277,40.0190375056936,0.8356715560596464,5.223019857785164,23.966301930168893,0.9744683823817912,7.661686174944386,56.1521787428226,0.0436395682501112,13.26903433505225,57.5941388485513,0.7732986495258178,8.857173711994722,39.00782573700363,0.8466040019757939,5.140445787773183,23.62633163864438,0.9767465430396037,7.876623835041952,55.665254781188125,0.009070984479834648,12.727923301845431,55.38394122069113,0.8543510579873277,8.03616825597698,36.140553636326324,0.8775279105260858,5.134099334474008,24.135593424323627,0.9784993870322981,8.32337896508095,55.22062180744206,-0.07028953364502122,10.930518798819227,46.5685327233823,0.9188359617974042,7.176365369036877,31.584821829532412,0.9063976303007619,4.75846580128567,23.348917354552352,0.9818112483717303,8.823319742411817,54.676631239835274,-0.2814625181339712,9.171713289639595,34.86707644003076,0.9318838421604541,6.961106591149882,30.87328331745731,0.9144111755114478,4.447562691457537,21.196262491749472,0.9825297230650686,9.085369334179939,55.89172977720169,-0.5672446817482171,8.821214846153966,35.54817365505822,0.8876147533097446,7.356135017416478,33.79647316456491,0.9046718834299695,4.170818985033505,18.664264476497937,0.98264690924944,8.821558142359923,55.68694753803616,-0.8307318272126939,9.970909315840968,47.7769862990625,0.7877168974255521,8.627247180062657,39.20399630311824,0.8693896987892877,3.846676403379516,17.331037458907904,0.9838831689523833,8.371129030342924,53.24627745415628,-0.8373306803838713,12.829713687634106,66.22492317477047,0.6293945885067054,10.460478424783561,49.59422776563145,0.8026039689592092,3.7421534131243055,16.81018365352753,0.9811720791620536,8.321554815100765,58.24946135779524,-0.6108608862614828,16.326678282274855,94.89110602533518,0.428641475296826,12.291549169617543,65.15988939114385,0.7173259930131616,4.29907851288321,20.217449554471344,0.9725831248510317,8.23663128218571,58.15636374133943,-0.46176051846409827,19.49527111455581,134.55971327129186,0.1737751812251929
ME-S,7.493846113971563,42.335203528322765,0.8909647338112457,6.087358464890828,34.74912423264712,0.9535045646273638,2.673600053672291,27.34083839431643,0.6427168482852277,10.172206542057136,59.39623672861811,0.9034425348519709,7.794195800719979,51.86038252615875,0.882947408668241,5.01185911056535,39.30208652469075,0.96721577404065,2.142472978893844,37.9194664474132,0.34546933154680265,11.634432354011043,75.89175701043216,0.8530867774282804,7.346754539191182,54.38100856682395,0.8973975897363803,5.097797759286664,39.746733778700346,0.968624354578439,2.1483143218534497,58.35818702061343,-0.002047871474653337,10.70566237905755,74.55683110902433,0.870045948786221,6.280656578433183,41.02764447420129,0.9252145163840487,4.538806111925793,26.47888452982579,0.9763114710892598,2.0199491550125592,42.11191095218036,-0.35166142272730283,9.00565100464446,62.19641091631496,0.8978667382601073,5.850621979318029,29.10898673313882,0.9362793561430643,4.066988450424587,16.766885026997794,0.9811185853939655,2.1952309173153037,32.09612703509605,-0.44858838994878536,8.477224826556201,46.26676076084851,0.8735057334196512,6.624204850114893,28.494021281407022,0.9204077045020058,4.032802912692257,15.408917647954492,0.9808790437202811,2.683187320337275,35.59449257253735,-0.35471500437465425,9.952813026114647,45.1620571409313,0.7884358989976588,7.630976349552734,33.45468671118665,0.8952306117538812,4.172268128809998,18.57542892703785,0.9784875643444589,3.4735672100364097,42.2450064565265,-0.27879305194879217,11.69102549751569,52.13088094108234,0.6905966644064663,8.703817780603355,35.140403632415065,0.8631871583378283,4.341966374960598,18.25225832060274,0.976497410839547,4.542454860082032,48.528915635679574,-0.5209157118771442,13.47338337460006,55.01758235190517,0.5658798584237295,9.58729728801978,37.24800188582891,0.8339217687803777,4.440340669065412,17.547241172043513,0.9767732674042241,5.918873036093072,57.475398023427026,-0.6422116638353608,14.868440824023875,58.651428956246676,0.4383481361804437,10.338849086984387,40.03625698171006,0.8002453828915354,5.179192149999849,16.489207740920175,0.9618357965598633,7.410961424393543,63.3972582819468,-0.4224547646460712,15.678623836535813,65.93407148085505,0.3605115759093375
ME-T,9.169350279616845,95.0283251423083,0.8363856312185792,5.032431730673196,19.06080158973479,0.9687446363591252,6.0355190059533586,51.082432592013525,0.8381921652628099,13.773226446594274,224.76564107849924,0.6951835737287455,8.75612787569647,93.5771704567371,0.8502604582378747,4.51714771088684,18.35653221272951,0.9746298284010677,5.323769027852332,52.16761949818975,0.8041491698184977,13.37412901010895,221.22439531889572,0.6967504588406432,7.82114345156723,73.1448169718706,0.8810877146521142,4.103107638153505,17.151261846839617,0.9786013281944332,4.7874545135104425,52.10462121294138,0.7453569052761861,11.906471622242995,164.37661970924404,0.762415729594525,6.9926046315827275,57.90907698193089,0.906038229822945,3.7558354320754996,16.43902073042942,0.9818542049795477,4.776070750099474,52.37576127439729,0.41979450153383485,10.517527960356716,121.5872181451396,0.7975554613422149,6.523580146161704,43.92601972329043,0.9204743247542874,3.7099442568079732,15.857459487519387,0.9820849313612976,5.13033919965063,54.88035263256609,0.2734642765150469,9.569116279795852,81.33575443084395,0.8074164629860731,6.87411387204913,35.57266946673433,0.9149136834108811,3.7192807133183456,14.739951782726903,0.9810395291001941,5.442501990595287,57.48646109864756,0.2771538034347285,10.18187210377741,58.002976366133765,0.7706168297635296,7.906020736822902,29.014041810989653,0.8926303045303122,3.7488996002442945,14.338904325069098,0.9808143185374808,5.832131488198719,59.06982304531708,-0.02119867848021258,12.05939477988835,39.15555631229341,0.6968557154756606,9.07046811799504,31.036422640703158,0.8658026346507849,3.9922825028773783,14.774896849967616,0.979160211147531,6.1561665539437005,60.962528228308486,0.044996671971099696,14.067107065310973,43.582129715624795,0.6181453733111872,9.75823813808171,33.03476552853814,0.8423792060223066,3.7848080239359003,13.980796145856155,0.9802161787018462,5.915291172612323,59.2635455108742,-0.39305168082845465,15.44609595848957,51.155321393549045,0.5351797621306383,10.37055160454415,34.65910623300841,0.8244050353786332,3.945431689993934,13.796552382670683,0.9781771993630354,5.82219339646426,58.21529697804026,-0.7370344684671875,16.50901146329845,56.497918754787555,0.4838360319283481
Basic-LSTM,8.535132116100769,36.19734037067896,0.8560574912151951,9.50273459270663,39.222416993758074,0.8526449324415687,7.906867730078038,32.18127773150801,0.8316195216992038,7.505056618606612,34.62592303461162,0.88543970601084,11.158160831540002,59.60061781930621,0.7378499777726285,13.172598205767674,78.16071577893531,0.7059980882747271,8.507770092165627,42.07063751876338,0.7589584626457532,9.566967286886896,45.83080256203544,0.8180996873838051,13.162524912557963,82.0369489494906,0.612347317467174,15.98923345524872,114.9327058876794,0.5578325872424987,7.978576713380712,50.44965052684892,0.7149706959750619,11.426302015763806,57.93182295207121,0.7454165276174323,14.53444299531878,95.61964905716361,0.5018206598961302,17.74715090082037,135.09007393735354,0.44082347875413136,7.5105627188852395,52.907178647035735,0.6920588287842483,12.935877100522013,69.49085783699273,0.6670549873033033,15.389385539571864,100.38022592660336,0.40707475515217556,18.73282640857256,142.3878422076593,0.3310428965517705,7.67776342897754,53.66016161346856,0.5651312848794012,13.889352310062499,73.30462935867394,0.5907505198070693,15.871358544748041,101.39995017395589,0.3267155224339861,19.284024576772346,146.0050911573632,0.22396827382050796,8.006521379585541,54.082564090884965,0.2661232711218784,14.357507741590954,71.31954082424568,0.5284400182047337,16.082187823369413,106.88497501383748,0.2811481348694053,19.494747657273745,156.44692110890603,0.16490474179321984,8.477190531973957,57.296295844734814,-0.23108494801896773,14.506211111393155,71.72750344097,0.4991017098683771,16.136679694260305,109.15158477286681,0.26664926939899214,19.502995471968553,159.79894144592464,0.14165643503140976,8.894071475035373,59.98472492640897,-0.5804014868141413,14.520699329965286,72.34865607331612,0.49766430156506736,16.137802543269785,105.78267403952464,0.2627055078297111,19.426936507643845,149.9607205478083,0.13565723628105206,9.26683143329456,61.793277288376345,-0.6875470041781793,14.520488597993822,74.32097343272858,0.5055159155926062,16.15160944698062,102.69581035254933,0.2561826141257547,19.335006627017936,139.51964160746414,0.1363984511784516,9.566200022692781,63.73704605812278,-0.6975391053324882,14.609884927419369,77.80240735587469,0.5077196549654941
DEFSI,4.606499520298205,19.390889120700614,0.9657197714470827,4.565639953290074,19.30744087120027,0.9692883616427388,5.374585617800997,30.880381308422205,0.9451273385931951,4.15355180094335,12.82724623686271,0.9722121184390207,5.797828663164528,30.48130821717812,0.9466407113945718,4.3461503840570135,24.93245974535369,0.9743050116001172,5.9468777479964725,59.95502686524555,0.9534668043753565,7.183272270627725,20.527340578718878,0.9511067669385037,7.2831134182971144,48.186240087813374,0.9175715978234221,6.027833376972112,32.48981628928197,0.960064489284071,6.9886206625793745,93.9294540881834,0.9453908510634794,8.777477057011108,41.87911427925193,0.9548728235045649,8.117970594522388,60.84316935702071,0.8961843970842899,8.484673682931092,40.59025158843094,0.9166045186148064,7.711830742354377,117.22305363431983,0.8380365540988899,7.859941811395561,54.239259478059644,0.9664184687027934,10.381119236954572,67.93779489835613,0.8338524407818931,12.225316985593905,46.854613531442205,0.8143897203207593,9.142711356691187,128.08922368371873,0.33891736175178355,8.246953622094646,60.215263819002274,0.9315365056726344,14.788573655475457,75.71685573080367,0.6832014238041361,17.77801620981354,54.868011078389856,0.5961760761924232,13.454573867066653,139.71648802384274,-0.19723062621948342,10.721843246518807,65.45751395086333,0.8426819380213589,20.62519346270248,88.07940172371505,0.47717145008058376,24.70062947342358,66.91910125097091,0.2878912281044865,19.54281547014412,155.9280415640559,-0.4441671327707524,14.570233205941586,75.98703081350962,0.6875744945724063,25.708734244223894,105.77841051156929,0.34379000276621724,29.99929555551673,86.84512364523279,0.15333817282107295,25.177744948851217,169.9837162663386,-0.44181433860351693,19.18897867250761,92.92795796536323,0.4975787662222992,26.90035945390671,138.73840980507921,0.329372222170337,29.92652493098387,129.16133218988898,0.24144907299189422,26.55215893728788,174.60952783430815,-0.34880880385708274,22.63940810147965,130.26753819480467,0.3446897249346007,24.034229556156777,180.37040410900977,0.37120416159985686,25.055541224280915,150.18009911832996,0.4087077000234456,22.19504998152624,167.29588038810053,-0.22447114755619824,23.713316467087743,226.91729528976984,0.2156320753327168
Seq2Seq,6.900674150954674,24.7918431520539,0.925409747863097,4.889382090078746,20.670607925306506,0.9622801255459702,11.837205576563253,33.42339311422448,0.8769301348110969,4.950483515737116,25.09769830530632,0.9587099448925706,6.845464497536935,30.1829306056087,0.9229274260425447,4.464102275122278,30.662626086938843,0.9770173362660691,12.340823441813596,45.380175949362545,0.916567906550836,4.515633095112994,20.739761720422408,0.9659881998805735,7.30521232872168,37.90833676286607,0.9140034805728372,5.455608657211745,40.71286221449385,0.9636098514375864,12.802111092511497,57.03700233037331,0.9509585297053471,4.432089048868444,23.182627140922772,0.9710655733196287,8.175619807967495,44.79845077405183,0.8972036064067355,7.7250654571558135,47.2175265048924,0.9165547769022199,12.778892574043656,65.71732976068212,0.9660004526799706,4.480640804255592,29.53061687105287,0.9755841627319519,10.400985411617098,53.30042031116838,0.8384251211655844,11.129309572056517,53.272813725811474,0.8181155925776247,14.235673626692371,71.1300157747591,0.64199362985702,5.752485447342038,42.98337337793106,0.9612618970779452,14.38936236395491,63.040138748979004,0.6906156821118378,15.723108690258687,58.63744731141705,0.6253310560013997,19.07615570398266,74.258957057005,-0.261130859066249,8.00995934723047,62.2068783605277,0.9192608063072619,19.44570542605224,69.10263328682976,0.47395106747744165,21.15191773677684,61.067405802935404,0.35033898261155966,25.871873281920863,76.27231804506921,-0.6826904920709599,10.939042316955028,75.30762598707052,0.8383719489557802,23.888647599122876,73.46840837101503,0.3183646359161479,25.694275046273482,60.703042988870415,0.17569770055784983,31.511682905791098,76.85059854714517,-0.7640551005939913,14.488955090563861,87.97599521344863,0.7144639286744702,25.207505908732085,79.69265662196302,0.29986459028451923,26.89834257570482,59.47486972686118,0.18527329478380297,32.052271344699115,76.595324972963,-0.7071314845040838,17.151257280326902,107.578574218288,0.6111844639453223,22.899140132828794,88.29645389342132,0.380131139910742,24.509553824331526,58.534782472829825,0.319130280054886,26.621393676785555,75.8556752623203,-0.6199036565343472,17.855767212565734,133.92228847998504,0.5504613093602218
