,접종,프라이온,외독소,비염,백일,생후,학질모기,처방,병세,탈모,초가을,사육
max_lag,10.0,10.0,8.0,14.0,11.0,14.0,8.0,11.0,8.0,14.0,13.0,13.0
coef,0.7896030847938739,0.5844274842119708,0.5153373577180139,0.6463426747787882,0.5207288129797629,0.6079139084839921,0.5492426201805622,0.5555325888281661,0.5077552616233277,0.5106927526199776,0.6108568496237908,0.5159148502527435
