,whooping cough,flu bug,flu vaccination,flu vaccine,flu vaccines,influenza vaccine,stomach bug,flu mist,colds,nasal vaccine,FluMist,vomiting bug,Flu shots,Norovirus bug,RSV,respiratory syncytial virus,FluMist vaccine,Stomach flu,FluMist nasal vaccine,vaccine FluMist,Fluzone,Flu Shot,norovirus gastroenteritis,acute sinusitis,virus RSV,laryngitis,Fluarix,Prevnar,contagious bacterial,Carbon Monoxide poisoning,Fluzone vaccine,contagious viral infection,croup
max_lag,10.0,5.0,14.0,13.0,14.0,14.0,5.0,14.0,6.0,14.0,14.0,5.0,14.0,5.0,6.0,5.0,14.0,5.0,13.0,14.0,14.0,14.0,6.0,5.0,5.0,5.0,14.0,14.0,6.0,4.0,14.0,5.0,9.0
coef,0.6526701408107012,0.7657996625227816,0.5252690443008835,0.6547647874772142,0.6267565695096532,0.5587073713655617,0.7459999268231334,0.5591149422990654,0.853242937988213,0.5397254629962212,0.6182309192679477,0.6256075902461832,0.6990540313990298,0.7296137408821664,0.9069760091749952,0.7267432847940141,0.5441365057554932,0.7469346109493044,0.5717931418485671,0.5558018442182203,0.7108477773478634,0.7216894544382453,0.5379178043881607,0.574340888936656,0.8177687236894609,0.8060028780714504,0.6171471517471391,0.5382002717761791,0.6852351349882099,0.6578057900626064,0.5093037237230903,0.5438084786511811,0.8017930906300885
