,괴질,접종,파라티푸스,퍼질,요독증,간암,분변,뉴캐슬병,혈청병,클로르프로마진,항원,우울증,잠수병,걸음마,초가을,말벌,일교차
max_lag,14.0,11.0,14.0,12.0,8.0,9.0,5.0,14.0,7.0,6.0,7.0,9.0,12.0,13.0,14.0,11.0,10.0
coef,0.5409192636809683,0.5774040947806459,0.5161546293936292,0.5667728014376751,0.5040894235253245,0.61236079751699,0.6524775542944796,0.5000865713244144,0.5663260067985432,0.5045252988870708,0.5596163883725919,0.5405669807884822,0.6190576141302633,0.6683813566432755,0.5161010949001256,0.5110432782689748,0.58667079932606
