,생백신,접종,크룹,브루셀라증,엘토르,자궁경부암,방광암,프리온,위궤양,칠면조,비염,폐암,엘니뇨,백일,위암,지방간,샤르트뢰,물개,장폐색,버킷림프종,집모기,새우
max_lag,9.0,10.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,4.0,13.0,7.0,5.0,9.0,5.0,5.0,7.0,14.0,7.0,9.0,12.0,14.0
coef,0.6034911682080547,0.6657244346552875,0.5347759520531534,0.539926663733389,0.6350869775858807,0.5168825544673978,0.5561309465731225,0.531622995424214,0.5063313169236978,0.5871700297227845,0.6889948315637624,0.5181082067677298,0.5872582657435353,0.5588714696615283,0.527000420093545,0.6188956760607505,0.515468865107229,0.5253232139816059,0.6072770238225421,0.5080879436937293,0.5077186352736728,0.6290329883476764
