,total_rmse_1,total_mape_1,total_corr_1,train_rmse_1,train_mape_1,train_corr_1,val_rmse_1,val_mape_1,val_corr_1,test_rmse_1,test_mape_1,test_corr_1,total_rmse_2,total_mape_2,total_corr_2,train_rmse_2,train_mape_2,train_corr_2,val_rmse_2,val_mape_2,val_corr_2,test_rmse_2,test_mape_2,test_corr_2,total_rmse_3,total_mape_3,total_corr_3,train_rmse_3,train_mape_3,train_corr_3,val_rmse_3,val_mape_3,val_corr_3,test_rmse_3,test_mape_3,test_corr_3,total_rmse_4,total_mape_4,total_corr_4,train_rmse_4,train_mape_4,train_corr_4,val_rmse_4,val_mape_4,val_corr_4,test_rmse_4,test_mape_4,test_corr_4,total_rmse_5,total_mape_5,total_corr_5,train_rmse_5,train_mape_5,train_corr_5,val_rmse_5,val_mape_5,val_corr_5,test_rmse_5,test_mape_5,test_corr_5,total_rmse_6,total_mape_6,total_corr_6,train_rmse_6,train_mape_6,train_corr_6,val_rmse_6,val_mape_6,val_corr_6,test_rmse_6,test_mape_6,test_corr_6,total_rmse_7,total_mape_7,total_corr_7,train_rmse_7,train_mape_7,train_corr_7,val_rmse_7,val_mape_7,val_corr_7,test_rmse_7,test_mape_7,test_corr_7,total_rmse_8,total_mape_8,total_corr_8,train_rmse_8,train_mape_8,train_corr_8,val_rmse_8,val_mape_8,val_corr_8,test_rmse_8,test_mape_8,test_corr_8,total_rmse_9,total_mape_9,total_corr_9,train_rmse_9,train_mape_9,train_corr_9,val_rmse_9,val_mape_9,val_corr_9,test_rmse_9,test_mape_9,test_corr_9,total_rmse_10,total_mape_10,total_corr_10,train_rmse_10,train_mape_10,train_corr_10,val_rmse_10,val_mape_10,val_corr_10,test_rmse_10,test_mape_10,test_corr_10
ME-T(AU),1.7662329160787165,22.802012100673696,0.8755287176665665,0.6433193829136041,14.043476394407865,0.9528469191435666,2.93002580394327,29.886044050608824,-0.16114073197794684,2.2402789204413156,33.05634303902875,0.8778586134818621,1.778116661893888,22.676890318779506,0.877400403405682,0.6726927884573837,15.26523955259394,0.9604610760476155,2.083385984782343,17.625779738354282,-0.1557261100042397,2.593350777211118,35.63009232554204,0.8277846364354995,1.8185627568898648,21.921521196698855,0.885206901343774,0.6608785659275245,13.776178552655303,0.9693145707577221,1.292179352237027,9.906621387815523,-0.20277695252667846,2.8636231437767403,38.65908762678284,0.7793897774049907,1.8963037537723197,22.20931731500374,0.8887645540475734,0.6591709503808997,12.340483645176162,0.9750998836203468,1.453984371182138,9.688065074584285,-0.21457841836244684,2.976710715089113,41.7003294342651,0.7373061488753833,1.9742924138107427,24.843336579859677,0.8871915047656699,0.6179662679157037,13.52273747934806,0.9812464496978507,1.7632629195708052,11.350035530511015,-0.15564546143504773,3.0692605916975264,46.86485823197964,0.6597083595384998,2.1011399097103345,26.67050360507814,0.8762135631882277,0.6521588830886214,13.043433849369524,0.9795167086596884,2.524416572477522,16.384112384861137,-0.1725181351518536,3.0946350554270006,50.87314565040718,0.5308576953939135,2.249035783725879,27.794117920981908,0.8615881757798305,0.6533076582200769,13.805309969081037,0.9809429401068371,2.815750896559284,18.75831581586497,0.27968066666707386,3.2892869879385938,52.049433761267174,0.2912408396472831,2.432901147430603,26.936174389105084,0.8427873983361225,0.5510970794291308,11.52343686758508,0.9878466851388324,3.2081581587257246,21.575776832729353,0.5888048842573333,3.543798757080881,51.88168073318343,0.07751212086549952,2.6853083362600887,27.970884662013713,0.8136807341502293,0.6219751303456202,12.154237826847817,0.9862397713623441,3.6764797332220236,25.174477716690173,0.7149176835800563,3.859529960422096,52.52322781561094,-0.09781777017819995,2.961674274938927,30.98670696059427,0.7745941193079018,0.8176650397966237,16.026652679868356,0.9776470609143765,4.492470635436668,31.405406166021706,0.7005494595754825,4.046993233313844,53.02342007182853,-0.07348658476375679
Basic-LSTM(AU),1.8121962100622948,31.56390146705584,0.8662562810266109,1.3431187898065835,29.47103604330926,0.7858792577134872,2.674485678105967,25.032600443388155,0.022889533541708196,1.9956718383980985,37.19768926629308,0.8732074011961952,2.142931202857804,37.65872950581317,0.8077558021045876,1.740825996952527,36.675673381464655,0.6940032414559012,2.860548276452428,27.391387392360805,-0.1708668197808222,2.349378944677805,43.091912960053826,0.8068687458326852,2.4419455878188554,42.34977512997836,0.7440559401571919,2.120326448001984,43.81081508539567,0.601202694186044,2.966947995533198,27.6844757629839,-0.3370639168204527,2.6535205122411445,45.85867043496991,0.7315649178582686,2.7295994936843386,46.974804568193825,0.6727950586323119,2.5346595499800397,51.397117017098296,0.5099100548601828,2.905469551660431,28.080477131050756,-0.2954408958520621,2.93084539643262,47.726596716455475,0.6397588217495758,3.0061113682881118,52.04614615977916,0.5945213389973405,2.9025206818712963,58.91182290763955,0.41772813753173244,2.896572913303462,28.63941024803892,-0.3664450587897009,3.192998231040563,50.919039725563195,0.5356848761677037,3.2764878561115918,57.43302825167535,0.5072288714115966,3.21437172852519,66.85889634303214,0.30867810554533026,3.2317169260396956,33.05909762291254,-0.5188512466555493,3.3832590617189684,52.88132616595733,0.3988066869712281,3.523735217463757,62.92053220643551,0.41760605530802136,3.509957821376812,74.33294674938465,0.20310869092564993,3.4663615086232307,36.04868204536152,-0.6209016494777669,3.5659150502169883,56.387988108281576,0.22869055308024228,3.7515574182325975,67.94257854616066,0.32520324835833925,3.7904104394408398,81.46203162238423,0.0946122073509448,3.7926794611441554,39.69401473078615,-0.6900031220547711,3.6768568397965273,58.816382555135164,0.08424311742791567,3.951312056259554,72.57972481082699,0.23180126804645626,4.117895174044972,89.1953561858275,0.0012522124449149408,3.7404069195199052,40.66125039084961,-0.6602647723037576,3.774415751935771,60.27981028791422,-0.08773811075112306,4.118654851783046,76.33503071009635,0.14490390565916586,4.331893226773508,95.06041979915541,-0.09252415529008373,4.171573774158067,45.49570216446221,-0.7181077492361535,3.757603901114338,60.48677407947993,-0.1280724200577416
DEFSI(AU),1.6119530191555553,22.88631151951782,0.9102713626820969,0.815866633625694,17.21209081591704,0.9256903345565628,1.7426915331406156,14.822922726770779,0.07256014400253702,2.3014293287136773,34.42743467689201,0.8868441020935692,1.8266865963840508,24.30783111362267,0.8879270144608133,0.9479342588354053,17.291539274932163,0.9201394155940397,1.7097228994690008,13.253227612098675,-0.11722593685374354,2.667373298816368,38.99830422968883,0.8424715399657254,2.094912574899123,25.194609683765528,0.8592069056670131,1.0974845912760842,19.134895341990887,0.9110596031576457,1.736288372800514,12.5324992041672,-0.242102518166544,3.105710269038449,39.08790598946917,0.7862742921816378,2.4138895596818366,27.577075847920117,0.8231900992014121,1.3031262449519099,22.442713135574426,0.8969762618600231,1.8264057601481078,12.55873764440412,-0.10643710745410988,3.59411411886841,41.0093578869554,0.7109721504945544,2.784348107590115,31.72163659397409,0.7783421861074319,1.5171803176955463,27.983733613979695,0.8751181142950778,2.0704269942281868,13.872869501551069,-0.13728298079264528,4.145173733009331,44.17740247103274,0.6273376214971269,3.1992230496176113,39.82331224406756,0.7225724710614981,1.7866826349200018,38.692641261690255,0.8332356270887297,2.894720958791834,18.424588695063193,-0.28122798319695,4.626438005188574,49.784458946564605,0.5002828316911616,3.613495481151266,53.444880751315,0.6658752518449002,2.0648654338826327,59.919388439842045,0.7947860283140188,3.5992761590146385,22.9306726635486,-0.3784855094214328,5.113290277516692,55.649498279732825,0.33560022103092024,4.00934393448353,62.095522370460706,0.6108176877092699,2.3391808536488186,73.02756869707162,0.760848739244815,4.453255059192994,27.689064300178064,-0.4042589830351596,5.509468680421537,59.192405138824874,0.17558341616761966,4.368807193851626,67.50498807978033,0.5612748730739507,2.6378979333692416,81.9508710200656,0.7309755681335065,5.154134061049839,31.153822988983272,-0.24510813256887856,5.847039399973026,60.14058052611722,-0.01141271958867068,4.747985223712758,69.16098700303537,0.5108719479056697,2.882279975475539,83.90722729810763,0.7071215524049037,6.143279651481593,37.402310432838995,-0.26525984454712787,6.14694786049766,59.57315039881059,-0.08080934156542285
Seq2Seq(AU),1.6877969692591424,26.92383857584525,0.934123182160389,0.9587231501335671,20.20071465273581,0.8954590649769344,3.3864160027794425,39.067498771621814,0.3284421189415086,1.5412181242072156,32.19931528919091,0.9021954818906016,1.924048111225982,30.073110986289738,0.9047593173272686,1.1565540453459684,22.68496477221731,0.8754406697520074,4.0310379291290195,50.24756986212232,0.16026882025214775,1.5340537229288609,33.22669870684912,0.8744747578788139,2.0927799498999207,33.568682942369215,0.8781925072792917,1.3656717282242383,26.071914034900743,0.8556994815771672,4.455116162242468,61.78785694197207,0.40672547953232496,1.4571994588518702,33.76936945037937,0.856456795929437,2.257353729042075,40.099169090870426,0.8479381094938322,1.6206272274800713,29.228629658267007,0.8397542527960791,4.722237048527176,75.15526429101715,0.637542880179933,1.4491633667931647,42.659545590805784,0.7602198773293074,2.4298608540774995,53.01411839810224,0.8099725899698971,1.8267181606926872,32.64262005773884,0.835335743668864,5.156532304080288,98.21957622151393,0.65596328227371,1.3063201916165028,65.74390645538534,0.560837179697122,2.6150867586899738,66.82092523531277,0.7614656294045598,2.0245492624507135,36.29493417272041,0.8176402769721522,5.419409419657972,126.99612436287511,0.7206052934303523,1.4773302075100612,88.82393166590957,0.2697451917939574,2.775433027386051,84.96127235068055,0.7126681862072751,2.1754542844090197,37.71851962926619,0.8178278361394137,5.646908099349495,181.49138302215627,0.8001675322504315,1.6580110584918648,117.6969270967242,0.11426421181998116,2.8980246982761595,121.0572019054712,0.6700906832608958,2.3048920686587233,38.439677682854565,0.8226346000443344,5.703189161750577,330.6081893901558,0.8728445769203177,1.9073544803049105,162.53443624173417,0.08037823495965794,2.9530209012911843,128.10384851542068,0.6427578947411936,2.5050990084124964,40.65786437773181,0.822638137220662,5.431710809335288,425.0123744694892,0.9161857172212606,2.074373840568693,142.93007299557758,0.14635137457736516,2.981381653221891,121.50363969591669,0.6241319492600329,2.5535343107361155,39.920995748016,0.836624638203873,5.133317152285973,401.43016090095705,0.918540894048085,2.375497165624684,134.20310315214076,0.15342792317013076
