,flu vaccinations,flu vaccination,flu vaccine,flu vaccines,vaccinations,vaccination,influenza vaccine,vaccine,Flu shots,vaccines,Fluvax,Flu Shot,Flu jabs,flue
max_lag,12.0,13.0,13.0,13.0,14.0,14.0,13.0,14.0,13.0,14.0,14.0,12.0,11.0,10.0
coef,0.5533560223113405,0.6320483864664853,0.6124977671689432,0.5524901748317784,0.5336712237529949,0.7319764602047639,0.586407493320155,0.635704693637145,0.5869422551536317,0.6677664201693498,0.5373852498420423,0.6250267762878937,0.5478317273165201,0.5631407019969888
