weeks,ILI
17-36,22.09
17-37,18.49
17-38,16.88
17-39,14.52
17-40,9.92
17-41,7.68
17-42,5.98
17-43,4.28
17-44,3.95
17-45,3.63
17-46,2.18
17-47,3.05
17-48,1.99
17-49,1.41
17-50,1.69
17-51,2.13
17-52,2.1
18-01,1.13
18-02,1.57
18-03,0.74
18-04,2.18
18-05,0.87
18-06,1.56
18-07,2.15
18-08,1.96
18-09,1.76
18-10,2.55
18-11,1.49
18-12,2.37
18-13,2.81
18-14,2.28
18-15,2.96
18-16,3.11
18-17,2.62
18-18,1.74
18-19,2.61
18-20,3.44
18-21,4.27
18-22,4.43
18-23,3.63
18-24,4.73
18-25,4.84
18-26,3.55
18-27,4.77
18-28,5.16
18-29,5.44
18-30,5.76
18-31,5.29
18-32,5.56
18-33,5.71
18-34,6.59
18-35,6.87
18-36,6.86
18-37,7.18
18-38,6.14
18-39,4.61
18-40,4.67
18-41,4.78
18-42,4.25
18-43,3.79
18-44,2.6
18-45,2.55
18-46,2.44
18-47,1.78
18-48,2.61
18-49,2.09
18-50,2.27
18-51,1.5
18-52,1.77
19-01,2.54
19-02,1.55
19-03,2.18
19-04,1.17
19-05,1.46
19-06,1.5
19-07,1.41
19-08,2.37
19-09,2.44
19-10,2.19
19-11,2.47
19-12,3.02
19-13,3.76
19-14,5.44
19-15,6.68
19-16,4.46
19-17,6.47
19-18,7.31
19-19,7.79
19-20,9.2
19-21,11.07
19-22,11.44
19-23,12.72
19-24,12.51
19-25,11.35
19-26,11.64
19-27,11.71
19-28,13.65
19-29,11.63
19-30,11.79
19-31,10.58
19-32,11.35
19-33,12.3
19-34,10.79
19-35,9.48
19-36,9.64
19-37,6.54
19-38,6.36
19-39,4.68
19-40,4.45
19-41,2.39
19-42,2.56
19-43,1.81
19-44,1.69
19-45,1.79
19-46,1.65
19-47,1.73
19-48,1.78
19-49,1.72
19-50,1.48
19-51,0.96
19-52,0.84
20-01,1.83
20-02,1.34
20-03,1.01
20-04,1.65
20-05,2.23
20-06,2.08
20-07,1.29
20-08,1.8
20-09,1.58
20-10,4.27
20-11,4.2
20-12,4.69
20-13,3.38
20-14,2.17
20-15,1.39
20-16,1.36
20-17,0.93
20-18,0.81
20-19,1.25
20-20,1.08
