,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,19.828400000000002,26.915100000000002,17.6709,49.6368,42.111999999999995,40.78980000000001,19.8859,30.810200000000002,53.576499999999996,36.3095,62.1936
2,18.274900000000002,29.106299999999997,15.434000000000001,46.907199999999996,34.6492,39.3762,19.8985,30.1875,55.24369999999999,31.3643,50.671099999999996
3,19.2606,34.9232,16.476200000000002,47.04730000000001,33.1698,41.5076,21.070999999999998,34.044599999999996,63.45280000000001,33.621300000000005,53.576800000000006
4,19.249499999999998,40.037000000000006,16.843,41.646,32.407,38.7899,21.9256,35.2869,70.18110000000001,38.811499999999995,60.227399999999996
5,20.887700000000002,44.3534,18.6354,36.9533,28.8598,34.5794,23.001400000000004,41.066500000000005,77.809,45.2235,68.7357
6,20.343400000000003,42.421499999999995,18.6408,32.363,26.217200000000002,30.6359,26.757400000000004,47.550999999999995,77.6939,52.0091,70.8629
7,19.7649,43.971900000000005,20.1839,28.942099999999996,23.4067,28.2646,30.2427,46.5163,68.11760000000001,54.2034,62.2135
8,19.936200000000003,39.0256,21.0385,27.174200000000003,21.2059,23.599,31.1328,45.7049,51.5749,52.707800000000006,56.2029
9,18.5383,31.507299999999997,20.955499999999997,25.2297,19.1094,23.3472,33.278800000000004,34.5522,35.5945,45.8991,51.0339
10,18.673,27.242199999999997,21.0398,25.5227,19.023,22.1286,35.918,32.9505,30.051799999999997,43.9714,52.899
11,16.9987,23.333599999999997,22.941,24.322499999999998,17.661900000000003,20.7619,30.9262,31.6426,27.3038,41.277699999999996,62.8745
12,14.974100000000002,19.25,19.222299999999997,21.085099999999997,18.5791,20.1267,27.8803,31.4433,24.776799999999998,35.027800000000006,73.54599999999999
13,14.511199999999999,17.5243,17.4239,19.4725,18.209400000000002,19.4192,25.237099999999998,28.793599999999998,23.6314,30.4819,62.27869999999999
14,12.0715,15.7704,16.760099999999998,17.4859,18.3453,17.480900000000002,21.2928,23.697699999999998,20.3139,26.7984,48.306
15,11.7415,13.576600000000001,14.9637,14.9713,17.5446,15.0367,20.514200000000002,19.385299999999997,18.037599999999998,22.6612,34.7443
16,11.620700000000001,13.1223,13.8202,13.2313,15.163599999999999,14.3494,19.8957,16.4064,15.869599999999998,19.648400000000002,25.745299999999997
17,11.7213,11.4937,12.892600000000002,12.264700000000001,14.0334,14.5673,17.858,14.752,15.3801,17.2201,20.2111
18,11.2168,11.145100000000001,13.580299999999998,11.9614,12.593,14.2836,16.0144,13.775500000000001,14.4974,15.728,16.2086
19,11.4981,11.0984,13.0833,11.904900000000001,13.2482,13.5297,14.742999999999999,13.377099999999999,12.7729,14.5718,13.524000000000001
20,11.332799999999999,10.524000000000001,12.6692,11.742600000000001,12.7576,13.3093,14.2286,13.468599999999999,12.2051,15.0332,12.3794
21,10.8171,10.3536,12.7731,11.334200000000001,12.9483,12.842200000000002,13.819600000000001,12.6579,12.323500000000001,14.0257,10.798299999999998
22,11.995899999999999,11.177700000000002,12.991,11.4306,12.261,11.3889,13.371200000000002,12.5701,12.229999999999999,14.035799999999998,8.90173
23,9.52808,9.82949,11.6297,10.0881,11.453799999999998,11.034299999999998,11.3894,11.6048,10.472999999999999,12.3749,
24,9.160319999999999,9.251940000000001,10.8612,10.2358,10.678,9.70748,10.964100000000002,10.4834,9.78113,11.2161,
25,9.26582,8.35531,10.568,10.0138,10.726899999999999,9.986809999999998,9.99559,9.92711,9.47548,10.127600000000001,
26,8.696200000000001,8.32393,10.7871,9.09498,10.1298,9.780569999999999,9.9095,9.61603,8.67554,9.59768,
27,9.03133,8.55591,10.4662,9.50042,9.947049999999999,8.66431,9.31253,9.55818,8.2328,8.78917,
28,7.73776,7.069489999999999,9.28152,8.29299,8.808620000000001,8.277569999999999,8.431180000000001,8.27597,7.71497,7.94181,
29,7.427739999999999,6.9438699999999995,9.01936,8.02109,8.58173,7.975720000000001,8.40286,8.11886,7.0681899999999995,7.663939999999999,
30,7.30934,6.87976,9.153559999999999,8.06333,8.05152,8.11221,8.30065,8.18527,6.8515500000000005,7.486129999999999,
31,7.8688199999999995,6.447430000000001,9.52548,7.96937,8.18781,8.211649999999999,7.90428,8.29758,6.8735100000000005,7.57116,
32,7.63051,6.753299999999999,9.16661,7.791359999999999,7.837350000000001,8.19435,8.30826,8.28503,7.357329999999999,7.700939999999999,
33,8.41043,7.2823,9.017870000000002,7.9765299999999995,8.48703,8.48041,8.56796,8.85896,8.06048,8.33506,
34,7.91573,8.06526,10.3315,8.254850000000001,8.34146,8.88524,10.0746,10.5351,9.440129999999998,9.4034,
35,9.12732,8.60408,10.523799999999998,9.354690000000002,9.059809999999999,9.628260000000001,10.586799999999998,11.1768,9.60101,10.819700000000001,
36,10.339799999999999,9.36075,11.2713,10.4345,10.450600000000001,10.225200000000001,11.002799999999999,11.4028,11.412799999999999,12.021600000000001,
37,9.34009,9.66683,11.866000000000001,10.9107,11.681600000000001,10.8392,11.456999999999999,11.3326,11.4784,12.729099999999999,
38,10.8189,9.96007,12.1415,12.0108,12.764899999999999,11.772400000000001,12.189,11.758899999999999,13.1156,13.880999999999998,
39,10.656299999999998,11.0846,12.519799999999998,12.617899999999999,12.9758,11.716,13.1113,12.3848,12.6102,14.9515,
40,11.350499999999998,12.0345,12.0559,11.3249,12.061200000000001,12.4325,12.7386,12.802,14.1974,15.0284,
41,12.5256,12.3777,13.192900000000002,12.112100000000002,13.2485,13.233999999999998,12.9342,13.312299999999999,14.73,15.9764,
