weeks,ILI
17-36,4.9
17-37,5.1
17-38,5.1
17-39,4.7
17-40,3.1
17-41,3.8
17-42,4.2
17-43,4.1
17-44,5.2
17-45,5.3
17-46,6.3
17-47,7.7
17-48,11.4
17-49,19.0
17-50,30.6
17-51,53.6
17-52,71.8
18-01,72.1
18-02,69.0
18-03,59.6
18-04,43.6
18-05,35.3
18-06,31.7
18-07,30.7
18-08,18.8
18-09,15.1
18-10,11.7
18-11,9.8
18-12,8.0
18-13,7.2
18-14,6.2
18-15,6.8
18-16,5.8
18-17,7.6
18-18,6.2
18-19,6.1
18-20,6.0
18-21,5.6
18-22,5.6
18-23,5.1
18-24,4.6
18-25,4.3
18-26,4.1
18-27,4.5
18-28,4.2
18-29,5.2
18-30,4.5
18-31,4.5
18-32,2.7
18-33,3.2
18-34,4.0
18-35,3.7
18-36,4.0
18-37,4.3
18-38,4.4
18-39,3.9
18-40,3.5
18-41,3.7
18-42,3.8
18-43,4.9
18-44,5.7
18-45,7.8
18-46,10.1
18-47,13.2
18-48,19.2
18-49,34.0
18-50,48.7
18-51,71.9
18-52,73.3
19-01,53.1
19-02,33.6
19-03,23.0
19-04,15.3
19-05,11.3
19-06,10.2
19-07,8.0
19-08,8.6
19-09,8.3
19-10,9.1
19-11,12.1
19-12,20.3
19-13,27.2
19-14,32.2
19-15,42.1
19-16,44.2
19-17,37.3
19-18,23.9
19-19,15.1
19-20,11.3
19-21,7.0
19-22,5.5
19-23,5.1
19-24,4.7
19-25,4.4
19-26,4.1
19-27,4.7
19-28,4.1
19-29,4.4
19-30,4.3
19-31,4.0
19-32,3.3
19-33,2.9
19-34,3.3
19-35,3.5
19-36,3.4
19-37,3.6
19-38,3.7
19-39,3.8
19-40,3.9
19-41,4.2
19-42,4.6
19-43,4.5
19-44,5.8
19-45,7.0
19-46,8.2
19-47,9.7
19-48,12.7
19-49,19.5
19-50,28.5
19-51,37.8
19-52,49.8
20-01,49.1
20-02,47.8
20-03,42.4
20-04,40.9
20-05,28.0
20-06,16.4
20-07,11.6
20-08,8.5
20-09,6.3
20-10,3.9
20-11,2.9
20-12,3.2
20-13,2.8
20-14,2.5
20-15,2.7
20-16,2.3
20-17,2.4
20-18,1.7
20-19,2.1
20-20,2.3
