weeks,ILI
16-25,9.99559
16-26,9.9095
16-27,9.31253
16-28,8.431180000000001
16-29,8.40286
16-30,8.30065
16-31,7.90428
16-32,8.30826
16-33,8.56796
16-34,10.0746
16-35,10.586799999999998
16-36,11.0028
16-37,11.457
16-38,12.189
16-39,13.1113
16-40,12.7386
16-41,12.9342
16-42,13.3097
16-43,14.2662
16-44,15.7071
16-45,16.514599999999998
16-46,17.330900000000003
16-47,20.3388
16-48,18.8331
16-49,20.0292
16-50,22.7731
16-51,29.1465
16-52,35.4919
17-01,30.8102
17-02,30.1875
17-03,34.0446
17-04,35.2869
17-05,41.066500000000005
17-06,47.551
17-07,46.5163
17-08,45.7049
17-09,34.5522
17-10,32.9505
17-11,31.6426
17-12,31.4433
17-13,28.7936
17-14,23.6977
17-15,19.3853
17-16,16.4064
17-17,14.752
17-18,13.7755
17-19,13.3771
17-20,13.4686
17-21,12.6579
17-22,12.5701
17-23,11.6048
17-24,10.4834
17-25,9.92711
17-26,9.61603
17-27,9.55818
17-28,8.27597
17-29,8.11886
17-30,8.18527
17-31,8.29758
17-32,8.28503
17-33,8.85896
17-34,10.5351
17-35,11.1768
17-36,11.4028
17-37,11.3326
17-38,11.7589
17-39,12.3848
17-40,12.802
17-41,13.3123
17-42,14.078600000000002
17-43,15.722
17-44,17.0326
17-45,18.6636
17-46,20.7647
17-47,23.3593
17-48,22.463700000000003
17-49,24.9504
17-50,32.004999999999995
17-51,44.3807
17-52,54.6361
18-01,53.5765
18-02,55.24369999999999
18-03,63.45280000000001
18-04,70.18110000000001
18-05,77.809
18-06,77.6939
18-07,68.11760000000001
18-08,51.5749
18-09,35.5945
18-10,30.0518
18-11,27.3038
18-12,24.7768
18-13,23.6314
18-14,20.3139
18-15,18.0376
18-16,15.869599999999998
18-17,15.3801
18-18,14.4974
18-19,12.7729
18-20,12.2051
18-21,12.3235
18-22,12.23
18-23,10.473
18-24,9.78113
18-25,9.47548
18-26,8.67554
18-27,8.2328
18-28,7.71497
18-29,7.06819
18-30,6.8515500000000005
18-31,6.8735100000000005
18-32,7.357329999999999
18-33,8.06048
18-34,9.440129999999998
18-35,9.60101
18-36,11.4128
18-37,11.4784
18-38,13.1156
18-39,12.6102
18-40,14.1974
18-41,14.73
18-42,15.8968
18-43,17.220799999999997
18-44,18.4114
18-45,19.2692
18-46,20.852
18-47,24.0063
18-48,22.4479
18-49,22.9962
18-50,27.3181
18-51,32.4012
18-52,41.8077
19-01,36.3095
19-02,31.3643
19-03,33.621300000000005
19-04,38.8115
19-05,45.2235
19-06,52.0091
19-07,54.2034
19-08,52.707800000000006
19-09,45.8991
19-10,43.9714
19-11,41.2777
19-12,35.027800000000006
19-13,30.4819
19-14,26.7984
19-15,22.6612
19-16,19.6484
19-17,17.2201
19-18,15.728
19-19,14.5718
19-20,15.0332
19-21,14.0257
19-22,14.035799999999998
19-23,12.3749
19-24,11.2161
19-25,10.1276
19-26,9.59768
19-27,8.78917
19-28,7.94181
19-29,7.663939999999999
19-30,7.486129999999999
19-31,7.57116
19-32,7.700939999999999
19-33,8.33506
19-34,9.4034
19-35,10.8197
19-36,12.0216
19-37,12.7291
19-38,13.880999999999998
19-39,14.9515
19-40,15.0284
19-41,15.9764
19-42,17.3931
19-43,18.603900000000003
19-44,20.1412
19-45,23.633900000000004
19-46,26.4426
19-47,29.7375
19-48,34.538900000000005
19-49,33.1281
19-50,38.692800000000005
19-51,50.261300000000006
19-52,71.5315
20-01,62.1936
20-02,50.6711
20-03,53.576800000000006
20-04,60.2274
20-05,68.7357
20-06,70.8629
20-07,62.2135
20-08,56.2029
20-09,51.0339
20-10,52.899
20-11,62.8745
20-12,73.54599999999999
20-13,62.27869999999999
20-14,48.306
20-15,34.7443
20-16,25.7453
20-17,20.2111
20-18,16.2086
20-19,13.524
20-20,12.3794
